model_name,type,latent_0,latent_1,latent_2
meta-llama/Llama-2-7b-hf,training,-0.4255773723125458,0.06497283279895782,0.37240731716156006
meta-llama/Llama-2-13b-hf,training,-0.47292178869247437,0.11130096018314362,0.34013277292251587
meta-llama/Llama-2-70b-hf,training,-0.5973374247550964,0.2299656867980957,0.26276132464408875
meta-llama/Meta-Llama-3-8B,training,-0.5629621148109436,0.20693735778331757,0.14390628039836884
meta-llama/Meta-Llama-3-70B,training,-0.6595755815505981,0.47017815709114075,0.03259207680821419
meta-llama/Meta-Llama-3-8B-Instruct,training,-0.3282563090324402,0.29873600602149963,0.49459728598594666
meta-llama/Llama-3.1-8B,training,-0.5694509148597717,0.23425592482089996,0.10112271457910538
meta-llama/Llama-3.1-70B,training,-0.6436198353767395,0.4585660696029663,0.05567161366343498
meta-llama/Llama-3.1-8B-Instruct,training,-0.3090023100376129,0.3786831498146057,0.4745348393917084
meta-llama/Llama-3.1-70B-Instruct,training,-0.1288197636604309,0.7488368153572083,0.6528448462486267
meta-llama/Llama-3.2-1B,training,-0.425504595041275,0.02488824911415577,0.24075272679328918
meta-llama/Llama-3.2-3B,training,-0.5117392539978027,0.12621057033538818,0.16727231442928314
meta-llama/Llama-3.3-70B-Instruct,training,-0.01587885431945324,0.8702763319015503,0.6221995949745178
mistralai/Mistral-7B-Instruct-v0.3,training,-0.3425159156322479,0.19341003894805908,0.6161425709724426
mistralai/Mixtral-8x7B-v0.1,training,-0.538643479347229,0.3057032823562622,0.20258457958698273
mistralai/Mixtral-8x7B-Instruct-v0.1,training,-0.3282873332500458,0.2928062379360199,0.5735649466514587
mistralai/Mixtral-8x22B-v0.1,training,-0.5539517998695374,0.47079673409461975,0.15642377734184265
mistralai/Mistral-Nemo-Base-2407,training,-0.5627617239952087,0.2481568604707718,0.15317903459072113
mistralai/Mistral-Small-24B-Base-2501,training,-0.6275757551193237,0.5369194746017456,-0.00010353395919082686
Qwen/Qwen2-7B,training,-0.4358918070793152,0.44130027294158936,0.23191553354263306
Qwen/Qwen2-72B,training,-0.4632073938846588,0.6758373379707336,0.17644555866718292
Qwen/Qwen2-7B-Instruct,training,-0.22091414034366608,0.5220582485198975,0.4594895541667938
Qwen/Qwen2-72B-Instruct,training,-0.16428276896476746,0.7864896655082703,0.5767919421195984
Qwen/Qwen2.5-7B,training,-0.40583616495132446,0.5063881874084473,0.21494942903518677
Qwen/Qwen2.5-14B,training,-0.44657161831855774,0.6166712045669556,0.1816900223493576
Qwen/Qwen2.5-32B,training,-0.46154066920280457,0.7210520505905151,0.17983393371105194
Qwen/Qwen2.5-72B,training,-0.416475385427475,0.778900682926178,0.15550726652145386
Qwen/Qwen2.5-7B-Instruct,training,0.06344949454069138,0.7999388575553894,0.5205633640289307
Qwen/Qwen2.5-72B-Instruct,training,0.02124544233083725,1.0259666442871094,0.5049501061439514
Qwen/QwQ-32B,training,-0.2141028791666031,0.1599513590335846,0.5067733526229858
google/gemma-7b,training,-0.48561567068099976,0.19882667064666748,0.31156885623931885
google/gemma-2-9b,training,-0.5675685405731201,0.35763201117515564,0.1480705887079239
google/gemma-2-27b,training,-0.544492244720459,0.416374534368515,0.15787085890769958
google/gemma-2-9b-it,training,-0.22410252690315247,0.44474101066589355,0.6968438029289246
google/gemma-2-27b-it,training,-0.19881774485111237,0.5415500402450562,0.6935881972312927
microsoft/phi-2,training,-0.5060361623764038,0.15297578275203705,0.34139037132263184
microsoft/Phi-3-mini-4k-instruct,training,-0.3326259255409241,0.40030327439308167,0.5124264359474182
microsoft/Phi-3-medium-4k-instruct,training,-0.3144223392009735,0.5001189708709717,0.5557805299758911
microsoft/Phi-3.5-mini-instruct,training,-0.2761913537979126,0.44149255752563477,0.5236459374427795
microsoft/phi-4,training,-0.7187763452529907,0.6322422027587891,-0.2133096307516098
01-ai/Yi-1.5-9B,training,-0.5096363425254822,0.32596686482429504,0.2672625482082367
01-ai/Yi-1.5-34B,training,-0.5419349670410156,0.4335922598838806,0.20064552128314972
01-ai/Yi-1.5-34B-Chat,training,-0.28054994344711304,0.5645949840545654,0.49059706926345825
tiiuae/falcon-7b,training,-0.440599262714386,0.00519505375996232,0.3275960683822632
tiiuae/falcon-40b,training,-0.502648651599884,0.1075562983751297,0.3313709497451782
tiiuae/Falcon3-7B-Base,training,-0.4504094123840332,0.39583346247673035,0.2931842803955078
tiiuae/Falcon3-10B-Base,training,-0.4246794879436493,0.5089671611785889,0.24990715086460114
deepseek-ai/deepseek-llm-7b-base,training,-0.43923434615135193,0.06625288724899292,0.33203384280204773
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,training,-0.1917591243982315,0.299233078956604,0.4225761294364929
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,training,-0.2791630029678345,0.6112726330757141,0.2782909870147705
EleutherAI/gpt-j-6b,training,-0.34078601002693176,0.03759722411632538,0.38271427154541016
EleutherAI/pythia-12b,training,-0.3421018719673157,0.03276181221008301,0.37299978733062744
stabilityai/stablelm-2-12b,training,-0.5919895172119141,0.17331434786319733,0.16803379356861115
databricks/dbrx-base,training,-0.7000457048416138,0.26329636573791504,0.026703953742980957
HuggingFaceH4/zephyr-7b-beta,training,-0.3453919291496277,0.1558832973241806,0.5888974666595459
NousResearch/Hermes-3-Llama-3.1-8B,training,-0.33950453996658325,0.21018771827220917,0.6913300156593323
allenai/OLMo-7B-hf,training,-0.3650526702404022,0.023775210604071617,0.42054834961891174
allenai/Llama-3.1-Tulu-3-8B,training,-0.03573358803987503,0.3524683117866516,0.8293785452842712
meta-llama/Meta-Llama-3-70B-Instruct,target,-0.28895616700093646,0.5036871839834162,0.7534395973054269
